Sequence_Type,Sequence_Length,Regex_Avg_Time(s),Regex_Avg_Mem(MB),Shiftor_Avg_Time(s),Shiftor_Avg_Mem(MB),Levenshtein_Avg_Time(s),Levenshtein_Avg_Mem(MB),Shiftor_vs_Regex(x),Levenshtein_vs_Regex(x)
high_gc,100,0.00022950555851113878,63.44954311111111,0.0019079555576253268,63.44965688888889,0.00720309167000879,63.450112,8.313330491874455,31.38526019472943
high_gc,500,0.00025823611455659073,63.49164088888889,0.00988952221652855,63.49198222222223,0.05510476944133794,63.492209777777774,38.29643360886816,213.38908981014
low_complexity,100,0.0002236305590486154,63.55467377777778,0.0020255138919714633,63.55478755555555,0.007637958333361894,63.555242666666665,9.057411029103289,34.154358714908305
low_complexity,500,0.00029235833951841213,63.655253333333334,0.009303777776141133,63.65548088888889,0.053517197224815995,63.655936,31.82319954158585,183.05343132326004
mutated,100,0.0002292916712273533,63.68847644444445,0.001796675001969561,63.688590222222224,0.008690336107974872,63.688704,7.83576216420035,37.900792739035
mutated,500,0.0002342611179402512,63.736832,0.008841191667468391,63.73717333333334,0.05196944999948351,63.737400888888885,37.74075589327357,221.84411333996295
random,100,0.0002532055546503721,63.79633777777778,0.0017066388940697329,63.79633777777778,0.006637627784382655,63.79667911111111,6.740132128721548,26.21438456809502
random,500,0.0002416388839871312,63.85152,0.008971230550539784,63.851747555555555,0.04910399166369138,63.85197511111111,37.12660149108104,203.2122928787673
repetitive,100,0.00022799444074432054,63.904768,0.001728333325849639,63.904881777777774,0.007273944444023073,63.905109333333336,7.580594159257775,31.904043012085022
repetitive,500,0.0002692972274316061,63.963136,0.008796455552025387,63.963136,0.0535265972284833,63.96370488888889,32.664486136454705,198.7640115681382
